iter	Passed	Remaining
846	1844	333
847	1846	331
848	1848	328
849	1851	326
850	1853	324
851	1855	322
852	1857	320
853	1859	317
854	1861	315
855	1864	313
856	1866	311
857	1868	309
858	1870	307
859	1873	304
860	1875	302
861	1877	300
862	1879	298
863	1881	296
864	1884	294
865	1886	291
866	1888	289
867	1890	287
868	1892	285
869	1894	283
870	1896	280
871	1898	278
872	1901	276
873	1903	274
874	1905	272
875	1907	269
876	1909	267
877	1911	265
878	1913	263
879	1916	261
880	1918	259
881	1920	256
882	1922	254
883	1924	252
884	1926	250
885	1928	248
886	1930	245
887	1932	243
888	1934	241
889	1936	239
890	1939	237
891	1941	235
892	1944	232
893	1946	230
894	1948	228
895	1950	226
896	1952	224
897	1954	222
898	1956	219
899	1958	217
900	1960	215
901	1962	213
902	1965	211
903	1967	208
904	1969	206
905	1971	204
906	1973	202
907	1975	200
908	1978	198
909	1980	195
910	1982	193
911	1984	191
912	1986	189
913	1988	187
914	1990	184
915	1992	182
916	1994	180
917	1996	178
918	1998	176
919	2001	174
920	2003	171
921	2005	169
922	2007	167
923	2009	165
924	2011	163
925	2014	160
926	2016	158
927	2018	156
928	2020	154
929	2022	152
930	2024	150
931	2027	147
932	2029	145
933	2031	143
934	2033	141
935	2035	139
936	2037	136
937	2039	134
938	2041	132
939	2043	130
940	2046	128
941	2048	126
942	2050	123
943	2052	121
944	2054	119
945	2056	117
946	2058	115
947	2061	113
948	2063	110
949	2065	108
950	2067	106
951	2069	104
952	2071	102
953	2073	99
954	2076	97
955	2078	95
956	2080	93
957	2082	91
958	2084	89
959	2086	86
960	2088	84
961	2091	82
962	2093	80
963	2095	78
964	2097	76
965	2099	73
966	2101	71
967	2103	69
968	2105	67
969	2108	65
970	2110	63
971	2112	60
972	2114	58
973	2116	56
974	2118	54
975	2120	52
976	2123	49
977	2125	47
978	2127	45
979	2130	43
980	2132	41
981	2134	39
982	2137	36
983	2139	34
984	2141	32
985	2144	30
986	2146	28
987	2148	26
988	2150	23
989	2153	21
990	2155	19
991	2158	17
992	2160	15
993	2162	13
994	2164	10
995	2167	8
996	2169	6
997	2171	4
998	2173	2
999	2175	0
